Rk,X_Season,X_Lg,X_Age,X_Ht,X_Wt,X_G,X_MP,X_FG,X_FGA,X_3P,X_3PA,X_FT,X_FTA,X_ORB,X_DRB,X_TRB,X_AST,X_STL,X_BLK,X_TOV,X_PF,X_PTS,X_FG%,X_3P%,X_FT%,X_Pace,X_eFG%,X_TOV%,X_ORB%,X_FT/FGA,X_ORtg
11,2012-13,NBA,26.7,6-7,223,1229,594470,91282,201609,17603,49067,41056,54533,27456,76119,103575,54415,19178,12622,35767,48775,241223,.453,.359,.753,92.0,.496,13.7,26.5,.204,105.8
12,2011-12,NBA,26.6,6-7,223,990,479050,72218,161225,12693,36395,33465,44472,22512,61001,83513,41533,15200,10086,28860,38744,190594,.448,.349,.752,91.3,.487,13.8,27.0,.208,104.6
13,2010-11,NBA,26.6,6-7,223,1230,595050,91624,199790,15886,44313,45760,59937,26844,74972,101816,52887,18023,11966,35065,50953,244894,.459,.358,.763,92.1,.498,13.4,26.4,.229,107.3
14,2009-10,NBA,26.6,6-7,222,1230,594500,92730,200989,15822,44622,45818,60377,26955,75685,102640,52258,17759,11947,34982,51309,247100,.461,.355,.759,92.7,.501,13.3,26.3,.228,107.6
15,2008-09,NBA,26.6,6-7,221,1230,594650,91310,199054,16352,44583,46907,60859,27157,74429,101586,51605,17883,11817,34519,51765,245879,.459,.367,.771,91.7,.500,13.3,26.7,.236,108.3
16,2007-08,NBA,26.8,6-7,220,1230,594100,91669,200501,16124,44544,46349,61363,27551,75720,103271,53506,17897,11651,34719,51709,245811,.457,.362,.755,92.4,.497,13.2,26.7,.231,107.5
17,2006-07,NBA,26.6,6-7,219,1230,595750,89860,196073,14926,41672,48253,64149,27360,73634,100994,52365,17807,11329,37232,54666,242899,.458,.358,.752,91.9,.496,14.2,27.1,.246,106.5
18,2005-06,NBA,26.5,6-7,220,1230,595550,88166,194315,14086,39313,48223,64700,27491,73263,100754,50711,17632,11560,35459,55986,238641,.454,.358,.745,90.5,.490,13.7,27.3,.248,106.2
19,2004-05,NBA,26.9,6-7,220,1230,595000,88435,197626,13777,38748,48462,64095,29544,73426,102970,52342,18489,11963,35677,55671,239109,.447,.356,.756,90.9,.482,13.6,28.7,.245,106.1
20,2003-04,NBA,27.0,6-7,220,1189,574770,83254,189802,12321,35492,43268,57564,28753,71608,100361,50658,18864,12022,35610,51006,222097,.439,.347,.752,90.1,.471,14.2,28.6,.228,102.9
21,2002-03,NBA,27.2,6-7,219,1189,575420,84937,192109,12200,34912,44028,58103,28654,71950,100604,51133,18884,11928,35471,51730,226102,.442,.349,.758,91.0,.474,14.0,28.5,.229,103.6
22,2001-02,NBA,27.4,6-7,218,1189,574670,86011,193263,12402,35074,42619,56650,29094,71735,100829,52131,18538,12422,34389,50497,227043,.445,.354,.752,90.7,.477,13.6,28.9,.221,104.5
23,2000-01,NBA,27.7,6-7,216,1189,575520,84865,191664,11524,32597,44205,59137,28519,72469,100988,51786,18600,12505,35783,53143,225459,.443,.354,.748,91.3,.473,14.1,28.2,.231,103.0
24,1999-00,NBA,27.8,6-7,216,1189,574270,87591,195220,11513,32614,45094,60111,29526,72536,102062,53130,18868,12293,36788,55408,231789,.449,.353,.750,93.1,.478,14.2,28.9,.231,104.1
25,1998-99,NBA,27.9,6-7,215,725,350650,49549,113379,6463,19080,27231,37399,18250,42145,60395,30050,12113,7196,22221,32206,132792,.437,.339,.728,88.9,.466,14.6,30.2,.240,102.2
26,1997-98,NBA,27.7,6-7,214,1189,575120,85383,189537,10450,30231,46053,62494,31033,67765,98798,52386,19943,12062,36823,53278,227269,.450,.346,.737,90.3,.478,14.5,31.4,.243,105.0
27,1996-97,NBA,27.7,6-7,213,1189,575170,85777,188594,14383,39943,44496,60271,30120,67583,97703,52426,19486,11674,37252,52602,230433,.455,.360,.738,90.1,.493,14.8,30.8,.236,106.7
28,1995-96,NBA,27.5,6-7,213,1189,574570,88096,190675,14000,38161,46427,62765,30016,68083,98099,53950,18952,12038,37641,54806,236619,.462,.367,.740,91.8,.499,14.7,30.6,.243,107.6
29,1994-95,NBA,27.2,6-7,212,1107,535610,84105,180423,12153,33889,44155,59938,28878,63128,92006,51729,18330,11430,35303,51961,224518,.466,.359,.737,92.9,.500,14.6,31.4,.245,108.3
30,1993-94,NBA,27.2,6-7,211,1107,533810,87064,186951,7301,21907,43308,58977,30687,64505,95192,54003,19652,11579,35424,49075,224737,.466,.333,.734,95.1,.485,14.3,32.2,.232,106.3
31,1992-93,NBA,27.1,6-7,210,1107,535160,90056,190295,6668,19824,46293,61373,30536,64968,95504,54705,18932,11558,35230,51269,233073,.473,.336,.754,96.8,.491,14.0,32.0,.243,108.0
32,1991-92,NBA,27.2,6-7,208,1107,535310,91371,193391,5587,16898,44826,59075,31787,64893,96680,54192,19131,12216,34430,49227,233155,.472,.331,.759,96.6,.487,13.6,32.9,.232,108.2
33,1990-91,NBA,27.2,6-7,209,1107,535260,91551,193059,5055,15812,47213,61736,30959,64817,95776,54782,19014,11624,35515,51304,235370,.474,.320,.765,97.8,.487,13.9,32.3,.245,107.9
34,1989-90,NBA,27.1,6-7,208,1107,534760,91914,192951,4829,14608,48225,63118,30633,64885,95518,55023,18881,11207,35555,51478,236882,.476,.331,.764,98.3,.489,13.9,32.1,.250,108.1
35,1988-89,NBA,26.9,6-7,208,1025,495150,87060,182385,4332,13431,45345,59067,29724,60307,90031,52431,18619,10949,35312,48504,223797,.477,.323,.768,100.6,.489,14.5,33.0,.249,107.8
36,1987-88,NBA,26.9,6-7,209,943,455040,79473,165441,2979,9421,42068,54933,26834,54994,81828,48599,16055,10160,31563,45461,203993,.480,.316,.766,99.6,.489,14.3,32.8,.254,108.0
37,1986-87,NBA,26.6,6-7,209,943,455590,80422,167455,2687,8913,43807,57449,27725,55295,83020,48998,16264,10411,32040,46277,207338,.480,.301,.763,100.8,.488,14.3,33.4,.262,108.3
38,1985-86,NBA,26.8,6-7,208,943,455640,81465,167166,1774,6293,43171,57079,26661,55500,82161,49065,16576,9910,33645,47543,207875,.487,.282,.756,102.1,.493,14.9,32.4,.258,107.2
39,1984-85,NBA,26.4,6-7,207,943,455340,82532,168048,1671,5917,42306,55381,26999,55009,82008,49515,16122,10019,33694,47036,209041,.491,.282,.764,102.1,.496,14.9,32.9,.252,107.9
40,1983-84,NBA,26.4,6-7,206,943,456490,82007,166638,1120,4484,42534,55992,26772,54378,81150,49397,16041,10004,33755,48573,207668,.492,.250,.760,101.4,.495,15.0,33.0,.255,107.6
41,1982-83,NBA,26.1,6-7,205,943,455090,82087,169098,1011,4248,39473,53336,27970,55883,83853,48862,16778,10566,36038,48373,204658,.485,.238,.740,103.1,.488,15.8,33.4,.233,104.7
42,1981-82,NBA,26.2,6-7,205,943,455690,81732,166418,1129,4308,40183,53889,27039,54948,81987,47438,16107,10131,33435,49352,204776,.491,.262,.746,100.9,.495,15.0,33.0,.241,106.9
43,1980-81,NBA,26.2,6-7,205,943,455340,81025,166769,936,3815,40900,54481,27437,54573,82010,48034,16964,10036,35354,47265,203886,.486,.245,.751,101.8,.489,15.6,33.5,.245,105.5
44,1979-80,NBA,26.4,6-6,204,902,436260,78735,163521,1403,5003,38366,50212,27165,53900,81065,46567,16993,9561,34166,43952,197239,.481,.280,.764,103.1,.486,15.5,33.5,.235,105.3
45,1978-79,NBA,26.3,6-6,203,902,434960,80316,165473,,,38424,51070,26780,54784,81564,46466,16486,9673,35710,45680,199056,.485,,.752,105.8,.485,16.0,32.8,.232,103.8
46,1977-78,NBA,26.2,6-6,204,902,436160,78565,167536,,,38532,51241,27054,57930,84984,45187,17324,9255,36217,45389,195662,.469,,.752,106.7,.469,16.0,31.8,.230,100.9
47,1976-77,NBA,26.2,6-6,204,902,434810,77236,166027,,,37601,50043,26983,57903,84886,43036,16906,9155,37107,45472,192073,.465,,.751,106.5,.465,16.5,31.8,.226,99.5
